Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_mean_3,lap_time_delta,speed_delta,throttle_delta,brake_delta,degradation_score,aggression_score,consistency_score,efficiency_score,drs_usage_intensity,tyre_ratio,stint_progress,session_baseline,LapTimeResidual
NOR,4,McLaren,16.0,6.0,SOFT,3.0,0.0,1,110.757,23.834,47.194,39.729,2023,Abu Dhabi Grand Prix,Q,169.75878220140515,280.0,57.72148920362656,36.19906323185012,34.04223004373321,0.1686182669789227,9798.789227166277,4.112412177985949,1.0,0.0,98.69633333333333,26.805000000000007,-54.875204726699394,-38.21923742174465,0.034631338874347606,81.84882299367833,30.095239923435113,13.347143282365707,0.017322697281163146,280.0,0.6,1.0,95.479,15.278000000000006
GAS,10,Alpine,2.0,1.0,SOFT,2.0,0.0,1,85.395,17.462,36.66,31.273,2023,Abu Dhabi Grand Prix,Q,219.79807692307693,326.0,69.88295862553136,74.86538461538461,38.88999847264175,0.1282051282051282,10287.07371794872,5.451923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.26725838264299,0.0,0.021364356724973117,326.0,0.3333333333333333,0.5,95.479,-10.084000000000003
GAS,10,Alpine,3.0,1.0,SOFT,3.0,0.0,1,107.142,22.054,43.879,41.209,2023,Abu Dhabi Grand Prix,Q,173.99744897959184,281.0,62.9946410550913,51.326530612244895,40.496919906925136,0.1581632653061224,9664.484693877552,4.170918367346939,1.0,0.0,0.0,21.747,-45.8006279434851,-23.53885400313972,0.02995813710099421,67.70579120879123,43.20855893377759,0.0,0.018001937253059618,281.0,0.5,1.0,95.479,11.662999999999997
GAS,10,Alpine,5.0,2.0,SOFT,2.0,0.0,1,84.6,17.298,36.43,30.872,2023,Abu Dhabi Grand Prix,Q,221.98427672955972,329.0,69.70055196645082,73.97169811320755,39.61696515809356,0.1194968553459119,10397.37106918239,5.430817610062893,1.0,0.0,92.379,-22.542,47.98682774996789,22.645167500962657,-0.03866640996021051,-70.40933089462197,65.13231280408212,0.0,0.021347985684743796,329.0,0.3333333333333333,0.5,95.479,-10.879000000000005
GAS,10,Alpine,6.0,2.0,SOFT,3.0,0.0,1,113.85,20.735,46.727,46.388,2023,Abu Dhabi Grand Prix,Q,163.92723004694835,287.0,63.55960137829791,42.539906103286384,39.6235765109685,0.1314553990610328,9467.715962441314,3.927230046948357,1.0,0.0,101.86399999999999,29.25,-58.05704668261137,-31.431792009921168,0.011958543715120895,87.43850208167241,36.94780577046001,0.0,0.017312508971351916,287.0,0.5,1.0,95.479,18.370999999999995
GAS,10,Alpine,8.0,3.0,SOFT,5.0,0.0,1,84.958,17.371,36.594,30.993,2023,Abu Dhabi Grand Prix,Q,223.17868338557997,327.0,68.99213370179592,74.94670846394985,38.57786759351194,0.1347962382445141,10374.902821316617,5.460815047021944,1.0,0.0,94.46933333333334,-28.891999999999996,59.25145333863162,32.40680236066346,0.003340839183481298,-88.0086571003871,64.84417409420112,14.175946599786556,0.021509326680187665,327.0,0.8333333333333334,0.5,95.479,-10.521
GAS,10,Alpine,9.0,3.0,SOFT,6.0,0.0,1,105.027,21.344,42.593,41.09,2023,Abu Dhabi Grand Prix,Q,176.9158415841584,281.0,63.26636624856388,52.42079207920792,41.22896381714644,0.1386138613861386,9561.920792079209,4.329207920792079,1.0,0.0,101.27833333333332,20.069000000000003,-46.26284180142159,-22.525916384741926,0.00381762314162451,66.47045566280772,45.154543672189,13.487128782657933,0.018500188951757764,281.0,1.0,1.0,95.479,9.548000000000002
GAS,10,Alpine,11.0,4.0,SOFT,2.0,0.0,1,84.078,17.202,36.091,30.785,2023,Abu Dhabi Grand Prix,Q,224.44099378881987,328.0,68.60123108351931,75.75776397515529,38.625250630408544,0.1273291925465838,10444.254658385093,5.475155279503106,1.0,0.0,91.35433333333333,-20.948999999999998,47.52515220466148,23.336971895947364,-0.011284668839554785,-68.3468230121149,66.11158905906409,13.990336336200068,0.021487364466374816,328.0,0.3333333333333333,0.5,95.479,-11.400999999999996
GAS,10,Alpine,12.0,4.0,SOFT,3.0,0.0,1,113.588,22.247,47.041,44.3,2023,Abu Dhabi Grand Prix,Q,164.43548387096774,277.0,61.33263513747151,43.324884792626726,37.33591325490674,0.1682027649769585,9575.875576036866,3.891705069124424,1.0,0.0,100.89766666666667,29.50999999999999,-60.00550991785212,-32.43287918252856,0.04087357243037468,89.68371268282907,36.03751937819873,14.841228224105983,0.017170055365699443,277.0,0.5,1.0,95.479,18.108999999999995
GAS,10,Alpine,14.0,5.0,SOFT,5.0,0.0,1,84.548,17.345,36.378,30.825,2023,Abu Dhabi Grand Prix,Q,221.9250814332248,328.0,71.22672253342017,73.90228013029316,39.8404115625934,0.1270358306188925,10283.599348534202,5.504885993485342,1.0,0.0,94.07133333333333,-29.039999999999992,57.489597562257046,30.577395337666438,-0.04116693435806598,-86.40256173163814,64.51404258931129,13.909183160775472,0.02157838860926112,328.0,0.8333333333333334,0.5,95.479,-10.930999999999997
