Driver,LapTime,Compound,TyreLife,Position,lap_time_mean_3,lap_time_delta,tyre_ratio
ALO,100.638,0.0,5.0,2.0,100.93400000000001,-0.25900000000000034,0.09090909090909091
ALO,102.727,0.0,6.0,2.0,101.42066666666666,2.0889999999999986,0.10909090909090909
ALO,100.467,0.0,7.0,2.0,101.27733333333333,-2.260000000000005,0.12727272727272726
ALO,99.671,0.0,8.0,2.0,100.955,-0.7959999999999923,0.14545454545454545
ALO,98.135,0.0,9.0,2.0,99.42433333333334,-1.5360000000000014,0.16363636363636364
ALO,97.64,0.0,10.0,2.0,98.48200000000001,-0.49500000000000455,0.18181818181818182
ALO,96.332,0.0,11.0,2.0,97.36900000000001,-1.308000000000007,0.2
ALO,93.205,0.0,12.0,2.0,95.72566666666667,-3.1269999999999953,0.21818181818181817
ALO,92.841,0.0,13.0,2.0,94.12599999999999,-0.3640000000000043,0.23636363636363636
ALO,93.864,0.0,14.0,2.0,93.30333333333334,1.0230000000000103,0.2545454545454545
ALO,91.23,0.0,15.0,2.0,92.645,-2.6340000000000003,0.2727272727272727
ALO,91.057,0.0,16.0,2.0,92.05033333333334,-0.17300000000000182,0.2909090909090909
ALO,89.419,0.0,17.0,2.0,90.56866666666667,-1.6380000000000052,0.3090909090909091
ALO,90.346,0.0,18.0,2.0,90.274,0.9270000000000067,0.32727272727272727
ALO,87.245,0.0,19.0,2.0,89.00333333333333,-3.100999999999999,0.34545454545454546
ALO,85.7,0.0,20.0,2.0,87.76366666666667,-1.5450000000000017,0.36363636363636365
ALO,86.931,0.0,21.0,2.0,86.62533333333333,1.2309999999999945,0.38181818181818183
