Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio
GAS,10,Alpine,12.0,1.0,MEDIUM,12.0,9.0,1,93.705,29.806,37.902,25.997,2023,Pre-Season Testing,R,223.51267605633802,308.0,70.38547401174507,70.9830985915493,40.43785420269603,0.14929577464788732,10134.414084507041,5.526760563380281,0.30704225352112674
GAS,10,Alpine,13.0,1.0,MEDIUM,13.0,9.0,1,93.683,29.79,37.925,25.968,2023,Pre-Season Testing,R,222.09142857142857,307.0,71.05938180802737,69.53428571428572,41.18812416022249,0.14,10096.291428571429,5.511428571428572,0.29428571428571426
GAS,10,Alpine,14.0,1.0,MEDIUM,14.0,9.0,1,93.843,29.922,38.058,25.863,2023,Pre-Season Testing,R,220.10404624277456,309.0,71.01276175031182,69.10693641618496,41.730503331117504,0.14739884393063585,10091.069364161849,5.433526011560693,0.28901734104046245
GAS,10,Alpine,15.0,1.0,MEDIUM,15.0,9.0,1,93.769,29.671,38.183,25.915,2023,Pre-Season Testing,R,221.7191011235955,314.0,70.96807276817641,68.6067415730337,41.80602233792331,0.15730337078651685,10145.974719101123,5.477528089887641,0.28651685393258425
GAS,10,Alpine,16.0,1.0,MEDIUM,16.0,9.0,1,93.535,29.712,37.938,25.885,2023,Pre-Season Testing,R,223.23361823361824,305.0,70.59706273341169,71.38461538461539,40.346820619051684,0.14814814814814814,10311.267806267806,5.3760683760683765,0.2934472934472934
GAS,10,Alpine,17.0,1.0,MEDIUM,17.0,9.0,1,93.138,29.79,37.516,25.832,2023,Pre-Season Testing,R,223.90358126721762,309.0,71.37450109828158,70.37465564738292,40.966130965422174,0.14325068870523416,10148.176308539945,5.523415977961433,0.3085399449035813
GAS,10,Alpine,18.0,1.0,MEDIUM,18.0,9.0,1,93.291,29.817,37.714,25.76,2023,Pre-Season Testing,R,223.24581005586592,308.0,71.84979603087336,69.18994413407822,41.59700901628039,0.13966480446927373,10115.265363128492,5.522346368715084,0.2988826815642458
GAS,10,Alpine,19.0,1.0,MEDIUM,19.0,8.0,1,93.199,29.589,37.892,25.718,2023,Pre-Season Testing,R,224.14450867052022,316.0,70.41514112882737,70.38439306358381,40.53582690613198,0.13583815028901733,10155.878612716762,5.557803468208093,0.29190751445086704
GAS,10,Alpine,20.0,1.0,MEDIUM,20.0,8.0,1,93.248,29.99,37.599,25.659,2023,Pre-Season Testing,R,224.59885386819485,307.0,70.89683778475603,71.78796561604585,40.407632339808764,0.14326647564469913,10223.997134670488,5.5243553008595985,0.28939828080229224
GAS,10,Alpine,21.0,1.0,MEDIUM,21.0,8.0,1,93.098,29.88,37.487,25.731,2023,Pre-Season Testing,R,224.25872093023256,308.0,70.46964431018999,71.00290697674419,41.263393340936155,0.13953488372093023,10193.110465116279,5.534883720930233,0.3023255813953488
GAS,10,Alpine,22.0,1.0,MEDIUM,22.0,8.0,1,93.168,29.877,37.485,25.806,2023,Pre-Season Testing,R,225.13353115727003,307.0,72.14983151602945,70.33531157270029,41.44370499732872,0.1394658753709199,10139.771513353116,5.563798219584569,0.2997032640949555
GAS,10,Alpine,23.0,1.0,MEDIUM,23.0,8.0,1,92.846,29.697,37.419,25.73,2023,Pre-Season Testing,R,225.60830860534125,308.0,71.44716447637376,72.23145400593472,40.43373277099508,0.142433234421365,10154.620178041543,5.584569732937686,0.3086053412462908
GAS,10,Alpine,24.0,1.0,MEDIUM,24.0,8.0,1,93.164,29.923000000000002,37.606,25.635,2023,Pre-Season Testing,R,222.9712643678161,307.0,70.74628354804754,71.58045977011494,40.03538590152066,0.14655172413793102,10157.6091954023,5.505747126436781,0.2959770114942529
GAS,10,Alpine,25.0,1.0,MEDIUM,25.0,8.0,1,93.098,29.868,37.665,25.565,2023,Pre-Season Testing,R,223.10115606936415,308.0,72.02422015207594,68.82658959537572,41.577432402049816,0.15895953757225434,10069.127167630058,5.546242774566474,0.28901734104046245
GAS,10,Alpine,26.0,1.0,MEDIUM,26.0,8.0,1,93.243,29.779,37.709,25.755,2023,Pre-Season Testing,R,225.8448275862069,309.0,71.39276476490531,70.89080459770115,40.87218604912552,0.13793103448275862,10185.060344827587,5.566091954022989,0.3045977011494253
GAS,10,Alpine,27.0,1.0,MEDIUM,27.0,7.0,1,92.988,30.009,37.485,25.494,2023,Pre-Season Testing,R,226.2443181818182,307.0,70.17103623717784,72.33806818181819,39.8786896188445,0.13636363636363635,10260.09375,5.511363636363637,0.14204545454545456
GAS,10,Alpine,28.0,1.0,MEDIUM,28.0,7.0,1,93.255,29.97,37.39,25.895,2023,Pre-Season Testing,R,225.88888888888889,307.0,68.51612253783081,71.86609686609687,40.21288729296001,0.150997150997151,10193.581196581197,5.561253561253562,0.0
GAS,10,Alpine,29.0,1.0,MEDIUM,29.0,6.0,1,93.283,29.986,37.573,25.724,2023,Pre-Season Testing,R,222.5722543352601,300.0,67.35879903662821,72.6300578034682,39.57603752377953,0.12427745664739884,10166.416184971098,5.473988439306359,0.0
GAS,10,Alpine,30.0,1.0,MEDIUM,30.0,5.0,1,93.299,30.065,37.476,25.758,2023,Pre-Season Testing,R,224.28,299.0,68.07139686853236,71.35428571428571,40.79742633925174,0.13714285714285715,10094.534285714286,5.574285714285714,0.0
GAS,10,Alpine,31.0,1.0,MEDIUM,31.0,6.0,1,93.391,30.099,37.532,25.76,2023,Pre-Season Testing,R,218.01739130434783,303.0,75.4315085846821,72.92463768115942,40.85631517963039,0.16521739130434782,10035.666666666666,5.339130434782609,0.0
GAS,10,Alpine,32.0,2.0,SOFT,4.0,11.0,126,126.804,49.808,41.774,35.222,2023,Pre-Season Testing,R,164.54261954261955,295.0,81.72904135387678,59.45945945945946,41.16930135275402,0.19334719334719336,9238.178794178793,4.0623700623700625,0.3887733887733888
GAS,10,Alpine,33.0,2.0,SOFT,5.0,11.0,64,128.973,41.703,51.608,35.662,2023,Pre-Season Testing,R,162.78688524590163,269.0,51.670052492425114,43.721311475409834,37.34692503775209,0.17418032786885246,9653.405737704918,3.817622950819672,1.0
GAS,10,Alpine,34.0,2.0,SOFT,6.0,11.0,4,125.716,41.573,52.848,31.295,2023,Pre-Season Testing,R,167.2531380753138,278.0,55.120914739363364,46.72594142259414,38.427559836423214,0.14853556485355648,9482.889121338912,4.052301255230126,1.0
GAS,10,Alpine,35.0,2.0,SOFT,7.0,11.0,4,137.502,41.755,54.622,41.125,2023,Pre-Season Testing,R,152.21713147410358,280.0,62.83853358197643,40.386454183266935,37.57050664866283,0.1852589641434263,9309.575697211156,3.5597609561752988,1.0
GAS,10,Alpine,36.0,2.0,SOFT,8.0,11.0,4,144.007,54.35,52.856,36.801,2023,Pre-Season Testing,R,144.05677655677655,274.0,65.40298845578958,38.65567765567766,39.11130359144923,0.14285714285714285,9023.250915750916,3.3974358974358974,1.0
GAS,10,Alpine,37.0,2.0,SOFT,9.0,11.0,4,145.817,53.022,52.911,39.884,2023,Pre-Season Testing,R,144.7816091954023,276.0,63.39319313302728,38.227969348659,39.220570018386994,0.1724137931034483,9133.536398467433,3.3812260536398466,1.0
GAS,10,Alpine,38.0,2.0,SOFT,10.0,11.0,41,133.934,39.488,55.306,39.14,2023,Pre-Season Testing,R,154.57545271629778,276.0,63.850844029760324,47.07645875251509,41.125719293822485,0.16901408450704225,9468.655935613682,3.557344064386318,1.0
GAS,10,Alpine,39.0,2.0,SOFT,11.0,12.0,1,92.98,29.367,37.504,26.109,2023,Pre-Season Testing,R,227.3380681818182,303.0,69.13776597082766,69.79261363636364,41.59511328942019,0.15625,10266.704545454546,5.588068181818182,1.0
GAS,10,Alpine,40.0,2.0,SOFT,12.0,12.0,1,92.823,29.676,37.533,25.614,2023,Pre-Season Testing,R,224.8932584269663,304.0,69.1738765276299,69.77247191011236,41.2357212239384,0.14325842696629212,10228.238764044943,5.51123595505618,0.9971910112359551
GAS,10,Alpine,41.0,2.0,SOFT,13.0,12.0,1,91.827,29.302,37.232,25.293,2023,Pre-Season Testing,R,226.67741935483872,316.0,72.32875345842824,70.78885630498533,40.875449184578464,0.15835777126099707,10230.803519061583,5.5982404692082115,0.2756598240469208
GAS,10,Alpine,42.0,2.0,SOFT,14.0,12.0,1,91.539,29.165,37.137,25.237,2023,Pre-Season Testing,R,230.04057971014493,318.0,70.98266722358767,72.6376811594203,39.779395674001165,0.1391304347826087,10315.802898550724,5.620289855072464,0.26956521739130435
GAS,10,Alpine,43.0,2.0,SOFT,15.0,12.0,1,91.648,29.324,36.888,25.436,2023,Pre-Season Testing,R,229.6783625730994,317.0,71.24108463814595,72.71637426900585,39.85639501718225,0.1286549707602339,10300.12865497076,5.640350877192983,0.29239766081871343
