Driver,LapTime,Compound,TyreLife,Position
MAG,110.776,HARD,54.0,12.0
MAG,127.055,HARD,55.0,16.0
MAG,108.018,WET,1.0,19.0
MAG,146.648,WET,2.0,19.0
MAG,103.755,WET,3.0,19.0
MAG,100.559,WET,4.0,19.0
MAG,101.219,WET,5.0,19.0
MAG,99.789,WET,6.0,19.0
MAG,100.016,WET,7.0,19.0
MAG,99.995,WET,8.0,19.0
MAG,100.703,WET,9.0,19.0
MAG,97.778,WET,10.0,19.0
MAG,100.088,WET,11.0,19.0
MAG,103.925,WET,12.0,19.0
MAG,99.407,WET,13.0,19.0
MAG,101.853,WET,14.0,19.0
DEV,93.449,MEDIUM,1.0,12.0
DEV,81.764,MEDIUM,2.0,12.0
DEV,80.58,MEDIUM,3.0,12.0
DEV,80.376,MEDIUM,4.0,12.0
DEV,79.79,MEDIUM,5.0,12.0
DEV,79.224,MEDIUM,6.0,12.0
DEV,79.038,MEDIUM,7.0,12.0
DEV,78.743,MEDIUM,8.0,12.0
DEV,79.454,MEDIUM,9.0,12.0
DEV,78.957,MEDIUM,10.0,12.0
DEV,79.07,MEDIUM,11.0,12.0
DEV,80.182,MEDIUM,12.0,12.0
DEV,79.419,MEDIUM,13.0,12.0
DEV,79.479,MEDIUM,14.0,12.0
DEV,79.081,MEDIUM,15.0,12.0
DEV,79.004,MEDIUM,16.0,12.0
DEV,79.182,MEDIUM,17.0,12.0
DEV,79.281,MEDIUM,18.0,12.0
DEV,79.234,MEDIUM,19.0,12.0
DEV,79.188,MEDIUM,20.0,12.0
DEV,79.398,MEDIUM,21.0,12.0
DEV,79.578,MEDIUM,22.0,12.0
DEV,79.699,MEDIUM,23.0,12.0
DEV,80.198,MEDIUM,24.0,12.0
DEV,80.132,MEDIUM,25.0,12.0
DEV,80.163,MEDIUM,26.0,12.0
DEV,80.154,MEDIUM,27.0,12.0
DEV,79.973,MEDIUM,28.0,12.0
DEV,80.009,MEDIUM,29.0,12.0
DEV,79.267,MEDIUM,30.0,12.0
DEV,79.067,MEDIUM,31.0,12.0
DEV,78.941,MEDIUM,32.0,12.0
DEV,79.071,MEDIUM,33.0,12.0
DEV,79.328,MEDIUM,34.0,12.0
DEV,80.911,MEDIUM,35.0,12.0
DEV,79.072,MEDIUM,36.0,12.0
DEV,79.096,MEDIUM,37.0,12.0
DEV,78.75,MEDIUM,38.0,12.0
DEV,80.38,MEDIUM,39.0,12.0
DEV,78.413,MEDIUM,40.0,12.0
DEV,78.207,MEDIUM,41.0,12.0
DEV,77.814,MEDIUM,42.0,12.0
DEV,77.561,MEDIUM,43.0,12.0
DEV,77.646,MEDIUM,44.0,12.0
DEV,77.746,MEDIUM,45.0,12.0
DEV,77.785,MEDIUM,46.0,12.0
DEV,77.579,MEDIUM,47.0,12.0
DEV,77.608,MEDIUM,48.0,12.0
DEV,78.016,MEDIUM,49.0,12.0
DEV,78.497,MEDIUM,50.0,12.0
DEV,84.546,MEDIUM,51.0,12.0
DEV,89.326,MEDIUM,52.0,12.0
DEV,118.795,MEDIUM,53.0,13.0
DEV,107.858,INTERMEDIATE,1.0,13.0
