Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,PitInTime,PitOutTime,TrackStatus,IsPersonalBest,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,gear_mean
VER,1,Red Bull Racing,69.0,2.0,INTERMEDIATE,14.0,True,1.0,91.607,24.291,44.421,22.895,,,12,False,2023,Monaco,R,0 days 02:36:42.990000,23.3,64.0,1013.2,True,27.7,143,1.7,128.56484149855908,267.0,33.50720461095101,0.2910662824207493,8575.763688760808,3.115273775216138
VER,1,Red Bull Racing,70.0,2.0,INTERMEDIATE,15.0,True,1.0,91.244,24.246,43.908,23.09,,,1,False,2023,Monaco,R,0 days 02:38:43.003000,23.4,62.0,1013.2,False,28.1,151,1.6,128.09941520467837,267.0,33.90643274853801,0.28654970760233917,8583.654970760233,3.08187134502924
VER,1,Red Bull Racing,71.0,2.0,INTERMEDIATE,16.0,True,1.0,90.363,24.39,43.707,22.266,,,1,False,2023,Monaco,R,0 days 02:39:42.971000,23.5,63.0,1013.2,False,28.2,140,1.7,131.01492537313433,269.0,34.14328358208955,0.3044776119402985,8674.110447761193,3.1462686567164178
VER,1,Red Bull Racing,72.0,2.0,INTERMEDIATE,17.0,True,1.0,90.402,23.566,44.437,22.399,,,1,False,2023,Monaco,R,0 days 02:41:42.968000,23.6,59.0,1013.0,False,29.0,137,2.0,129.2212389380531,269.0,35.094395280235986,0.31268436578171094,8603.628318584071,3.103244837758112
VER,1,Red Bull Racing,73.0,2.0,INTERMEDIATE,18.0,True,1.0,88.386,23.253,42.926,22.207,,,1,False,2023,Monaco,R,0 days 02:42:42.999000,23.6,58.0,1013.0,False,29.2,136,2.0,135.65781710914453,268.0,36.97935103244838,0.29793510324483774,8785.401179941004,3.271386430678466
VER,1,Red Bull Racing,74.0,2.0,INTERMEDIATE,19.0,True,1.0,86.864,23.03,42.003,21.831,,,1,False,2023,Monaco,R,0 days 02:44:43.012000,23.8,57.0,1013.0,False,30.0,138,1.3,136.32515337423314,266.0,39.39877300613497,0.294478527607362,8891.628834355828,3.2515337423312882
VER,1,Red Bull Racing,75.0,2.0,INTERMEDIATE,20.0,True,1.0,85.518,22.254,41.506,21.758,,,1,False,2023,Monaco,R,0 days 02:45:43.011000,23.8,57.0,1013.0,False,30.0,125,1.1,136.49382716049382,269.0,38.6820987654321,0.2962962962962963,8920.873456790123,3.246913580246914
VER,1,Red Bull Racing,76.0,2.0,INTERMEDIATE,21.0,True,1.0,85.316,22.131,41.454,21.731,,,1,False,2023,Monaco,R,0 days 02:46:43.026000,23.8,56.0,1013.0,False,30.3,146,1.5,139.746875,271.0,41.8125,0.275,8978.48125,3.309375
VER,1,Red Bull Racing,77.0,2.0,INTERMEDIATE,22.0,True,1.0,85.46,22.004,41.347,22.109,,,1,False,2023,Monaco,R,0 days 02:48:43.055000,23.9,57.0,1012.9,False,30.7,136,1.7,137.57728706624604,271.0,37.694006309148264,0.30914826498422715,8728.539432176656,3.3785488958990535
VER,1,Red Bull Racing,78.0,2.0,INTERMEDIATE,23.0,True,1.0,85.201,22.353,40.652,22.196,,,1,False,2023,Monaco,R,0 days 02:49:43.069000,24.0,59.0,1012.9,False,30.7,144,1.3,137.7371601208459,268.0,36.948640483383684,0.3293051359516616,8915.021148036254,3.299093655589124
GAS,10,Alpine,1.0,1.0,HARD,1.0,True,7.0,89.701,,39.087,21.849,,,12,False,2023,Monaco,R,0 days 01:02:42.715000,25.2,44.0,1013.4,False,43.1,153,0.8,133.61383285302594,282.0,42.835734870317005,0.2737752161383285,9150.446685878962,3.025936599423631
GAS,10,Alpine,2.0,1.0,HARD,2.0,True,7.0,80.636,21.35,37.855,21.431,,,1,True,2023,Monaco,R,0 days 01:03:42.714000,25.2,44.0,1013.4,False,43.1,48,1.0,147.00316455696202,281.0,44.93354430379747,0.2721518987341772,9279.661392405063,3.3955696202531644
GAS,10,Alpine,3.0,1.0,HARD,3.0,True,7.0,80.282,21.121,37.704,21.457,,,1,True,2023,Monaco,R,0 days 01:05:42.712000,25.3,45.0,1013.4,False,42.8,18,1.0,143.57615894039736,282.0,42.94701986754967,0.2847682119205298,9260.629139072847,3.301324503311258
GAS,10,Alpine,4.0,1.0,HARD,4.0,True,7.0,79.577,20.966,37.533,21.078,,,1,True,2023,Monaco,R,0 days 01:06:42.711000,25.4,45.0,1013.5,False,42.8,115,1.0,149.93150684931507,280.0,45.94178082191781,0.2773972602739726,9477.667808219177,3.4006849315068495
GAS,10,Alpine,5.0,1.0,HARD,5.0,True,7.0,78.893,20.723,37.119,21.051,,,1,True,2023,Monaco,R,0 days 01:07:42.710000,25.5,44.0,1013.5,False,42.4,161,1.3,150.29194630872485,281.0,46.60738255033557,0.2751677852348993,9347.68456375839,3.466442953020134
GAS,10,Alpine,6.0,1.0,HARD,6.0,True,7.0,78.842,20.676,37.099,21.067,,,1,True,2023,Monaco,R,0 days 01:09:42.723000,25.4,44.0,1013.5,False,41.6,76,0.8,152.07744107744108,282.0,47.71043771043771,0.25252525252525254,9392.63973063973,3.525252525252525
